Array length,QuickSort,MeanOf3,BitterEnd,Hoare,BestBitterEndNumber
0,0,0,0,0,0.0
1,1276,1349,554,918,0.7734375
2,487,962,424,1062,1.078125
3,487,1286,293,985,1.625
4,648,1246,337,684,1.9609375
5,698,644,130,858,3.1328125
6,541,584,63,778,2.7109375
7,547,531,20,761,3.4609375
8,975,995,363,1439,4.203125
9,1152,1112,387,1573,4.796875
10,1139,1186,383,2078,5.203125
11,1216,1209,43,1907,6.2421875
12,898,1052,26,1683,5.171875
13,835,888,3,1169,4.4140625
14,1216,1373,140,1590,7.15625
15,1379,1560,253,1770,7.8203125
16,1446,1760,263,1924,8.0859375
17,1583,1443,263,2081,8.609375
18,1643,1580,343,2188,8.3359375
19,1707,1593,363,2295,8.1875
20,1777,1640,370,2392,9.09375
21,1627,1703,273,2191,9.2890625
22,2001,1617,356,2408,9.1484375
23,1897,1787,390,2659,10.625
24,1957,1864,407,2719,11.6015625
25,2121,2014,410,2856,12.0234375
26,2168,1984,423,2950,12.0390625
27,2191,2081,427,3040,13.0546875
28,2291,2168,423,3294,13.671875
29,2305,2255,440,3444,13.734375
30,2769,2529,443,3815,14.0546875
31,2144,2285,457,3387,13.4296875
32,1744,1894,213,2762,12.1796875
33,1667,1834,200,2616,10.8515625
34,1687,1830,280,2629,9.6171875
35,2071,2238,403,3364,11.109375
36,2592,2833,607,4166,12.9921875
37,2816,3214,644,4383,12.421875
38,2706,2903,677,4340,11.625
39,2489,2662,620,3972,10.640625
40,2151,2348,460,3364,10.4765625
41,2118,2248,420,3257,9.7578125
42,2990,3200,801,4774,12.578125
43,7143,3300,791,7062,12.1171875
44,3107,3548,791,5262,11.953125
45,3040,3160,711,4697,12.6015625
46,3324,3608,861,5579,15.015625
47,3665,2963,594,4350,13.7734375
48,3237,3471,838,5168,14.84375
49,2539,2759,437,4032,14.4296875
50,2732,2936,487,4233,14.6171875
51,2692,2923,470,4176,14.3671875
52,2990,3194,627,4650,14.265625
53,2803,2980,457,4206,14.8203125
54,2806,3020,457,4239,14.4453125
55,2906,3046,504,4320,13.3671875
56,2976,3147,514,4420,14.4453125
57,2996,3193,554,4503,12.7890625
58,3057,3307,591,4710,13.015625
59,3137,3387,634,4717,11.3515625
60,3307,3571,704,5202,12.078125
61,3504,3775,828,5459,12.6796875
62,3314,3681,744,5095,10.4296875
63,3427,3615,784,5185,9.9453125
64,4035,4276,1065,6184,11.5390625
65,4390,4720,1272,6915,14.671875
66,3855,4196,971,6137,11.7265625
67,3885,4259,981,6100,11.34375
68,3628,3912,844,5509,11.3828125
69,3681,3975,865,5592,10.9609375
70,3788,4032,861,5619,11.046875
71,3798,4072,861,5729,10.671875
72,4807,5161,1329,7704,15.59375
73,5095,6100,1523,8255,14.71875
74,5462,5896,1700,9090,15.2109375
75,4807,5165,1292,7604,14.234375
76,4460,4841,1108,6859,13.3984375
77,4791,5148,1269,7473,13.9140625
